"model","test_group","n","MAE","RMSE","correlation"
"m_value_ridge_calibrated","all_test",450,2.60316575987001,3.86929174500622,0.985632448300155
"signature_kernel","all_test",450,6.80642342758824,8.84718260886077,0.919379610916952
"m_value_ridge_calibrated","non_quinn_test",418,2.79059444545475,4.01401378022836,0.978012120266972
"signature_kernel","non_quinn_test",418,7.26481652618161,9.17150206604932,0.871162389880342
"m_value_ridge_calibrated","quinn_test",32,0.154878554419431,0.26185654118391,0.973015166923422
"signature_kernel","quinn_test",32,0.818663577212339,1.39207455196367,0.90105252426934
